id,title,relation,object,province
MOC-150396,วัดสุวรรณรังษี,ตั้งขึ้นเมื่อ,พ.ศ. 2461,มหาสารคาม
MOC-161728,วัดป่าสามัคคีธรรม,ตั้งขึ้นเมื่อ,พ.ศ.2484,มหาสารคาม
MOC-161732,วัดเทพประดิษฐ์,ตั้งขึ้นเมื่อ, พ.ศ.๒๔๕๒,มหาสารคาม
MOC-161710,วัดสังข์ทองวนาราม,ตั้งขึ้นเมื่อ,พ.ศ. 2392,มหาสารคาม
MOC-161704,วัดใต้โกสุม,ตั้งขึ้นเมื่อ,พ.ศ. 2410 ,มหาสารคาม
MOC-161723,วัดเกาะแก้วโกสุม,ตั้งขึ้นเมื่อ,พ.ศ. 2482,มหาสารคาม
MOC-143581,วัดโสมนัส,ตั้งขึ้นเมื่อ,พ.ศ. 2470,มหาสารคาม
MOC-140998,วัดทองนพคุณ,ตั้งขึ้นเมื่อ, พ.ศ. 2384,มหาสารคาม
MOC-150336,วัดทัพป่าจิก,ตั้งขึ้นเมื่อ,พ.ศ. 2480,มหาสารคาม
MOC-120948,สวนพฤกษศาสตร์ 100 ปี,ตั้งขึ้นเมื่อ,พ.ศ. 2539,สระแก้ว
MOC-150288,พิพิธภัณฑ์พื้นบ้านเมืองไผ่,ตั้งขึ้นเมื่อ,พ.ศ. ๒๕๔๖,สระแก้ว
MOC-141852,วัดอรัญญิการา,ตั้งขึ้นเมื่อ,พ.ศ. ๒๔๗๒,สระแก้ว
MOC-139487,วัดหนองหิน,ตั้งขึ้นเมื่อ,วันที่ ๘ กรกฎาคม ๒๔๘๔,อุบลราชธานี
MOC-170041,วัดโขงเจียม,ตั้งขึ้นเมื่อ,พ.ศ.239,อุบลราชธานี
MOC-129266,พระธาตุบ้านผาแก้วใหญ่,ตั้งขึ้นเมื่อ,พ.ศ. ๒๓๔๑,อุบลราชธานี
MOC-154847,วัดเกษมสำราญ,ตั้งขึ้นเมื่อ,พ.ศ. ๒๔๘๗,อุบลราชธานี
MOC-121297,วัดอโศการาม,ตั้งขึ้นเมื่อ,พ.ศ.๒๔๗๓,กาฬสินธุ์
MOC-129207,วัดป่ากุดหว้า,ตั้งขึ้นเมื่อ,พ.ศ. 2410,กาฬสินธุ์
MOC-141294,วัดนาเหลืองม่วงขวา,ตั้งขึ้นเมื่อ,วันที่ 10 มีนาคม 2545,น่าน
MOC-70291,วัดศรีคุณคันธรส,ตั้งขึ้นเมื่อ,พ.ศ. ๒๔๐๓,อำนาจเจริญ
MOC-70332,วัดบ้านหนองแสง,ตั้งขึ้นเมื่อ,วันที่ ๒๓ พฤษภาคม ๒๕๔๔,อำนาจเจริญ
MOC-70422,วัดปัญจสมณาราม,ตั้งขึ้นเมื่อ,วันที่ ๑ กรกฎาคม ๒๕๑๔,อำนาจเจริญ
MOC-183860,วัดบ้านชาด,ตั้งขึ้นเมื่อ,พ.ศ. 2455,อำนาจเจริญ
MOC-183872,วัดเก่าภูดิน,ตั้งขึ้นเมื่อ,พ.ศ. 2538,อำนาจเจริญ
MOC-70306,วัดบ้านเก่าบ่อ,ตั้งขึ้นเมื่อ,วันที่ ๑๑ กรกฎาคม พ.ศ. ๒๕๓๙ ,อำนาจเจริญ
MOC-70396,วัดหนองยอ,ตั้งขึ้นเมื่อ,พ.ศ. ๒๔๓๒,อำนาจเจริญ
MOC-70407,วัดโพนขวาว,ตั้งขึ้นเมื่อ,วันที่ ๒ เมษายน ๒๕๒๙,อำนาจเจริญ
MOC-183831,วัดคำข่า,ตั้งขึ้นเมื่อ,พ.ศ. 2360,อำนาจเจริญ
MOC-183845,วัดพระศรีเจริญ,ตั้งขึ้นเมื่อ,พ.ศ. 2360,อำนาจเจริญ
MOC-183846,วัดโคกเลาะ,ตั้งขึ้นเมื่อ,พ.ศ. 2415,อำนาจเจริญ
MOC-183849,วัดหนองแก้ว,ตั้งขึ้นเมื่อ,พ.ศ. 2420,อำนาจเจริญ
MOC-183851,วัดโนนแคน,ตั้งขึ้นเมื่อ,พ.ศ.2465,อำนาจเจริญ
MOC-183862,วัดหนองงูเหลือม,ตั้งขึ้นเมื่อ,พ.ศ. 2544,อำนาจเจริญ
MOC-183864,วัดหนองจอก,ตั้งขึ้นเมื่อ,พ.ศ. 2471,อำนาจเจริญ
MOC-183867,วัดโนนค้อทุ่ง,ตั้งขึ้นเมื่อ,พ.ศ. 2294,อำนาจเจริญ
MOC-183876,วัดบ้านโพนเมืองน้อย,ตั้งขึ้นเมื่อ,พ.ศ. 2440,อำนาจเจริญ
MOC-183879,วัดสิทธิยาราม,ตั้งขึ้นเมื่อ,พ.ศ. 2495,อำนาจเจริญ
MOC-183878,วัดดู่พัฒนา,ตั้งขึ้นเมื่อ,พ.ศ. 2536,อำนาจเจริญ
MOC-183880,วัดสระรังษีวนาราม,ตั้งขึ้นเมื่อ,พ.ศ. 2498,อำนาจเจริญ
MOC-183885,วัดบ้านเก่าบ่อ,ตั้งขึ้นเมื่อ,วันที่ 11กรกฎาคม พ.ศ. 2539,อำนาจเจริญ
MOC-145628,วัดสวนสวรรค์,ตั้งขึ้นเมื่อ,วันที่ 4 ธันวาคม 2499 ,อำนาจเจริญ
MOC-141139,วัดธาตุ,ตั้งขึ้นเมื่อ,พ.ศ.๒๔๒๕,สุรินทร์
MOC-116819,ศูนย์วิจัยข้าวสะเมิง,ตั้งขึ้นเมื่อ,วันที่ 1 กันยายน 2521,เชียงใหม่
MOC-75007,วัดพิชัยสงคราม,ตั้งขึ้นเมื่อ,พ.ศ. ๑๙๐๐,พระนครศรีอยุธยา
MOC-73144,วังช้างอยุธยา แล เพนียด,ตั้งขึ้นเมื่อ,วันที่ ๑๗ กุมภาพันธุ์ พ.ศ. ๒๕๔๐ ,พระนครศรีอยุธยา
MOC-70615,วัดสมณโกฏฐาราม,ตั้งขึ้นเมื่อ,พ.ศ. ๑๙๐๐,พระนครศรีอยุธยา
MOC-153715,ตำหนักสิรินธรราชปิตุจฉา,ตั้งขึ้นเมื่อ,พ.ศ.๒๔๖๖,พระนครศรีอยุธยา
MOC-152580,พิพิธภัณฑ์บ้านแพรก ศูนย์ศึกษาประวัติศาสตร์และวัฒนธรรมลุ่มแม่น้ำลพบุรี,ตั้งขึ้นเมื่อ,พ.ศ. 2526,พระนครศรีอยุธยา
MOC-7021,วัดบ่อน้ำร้อน,ตั้งขึ้นเมื่อ,วันที่ 25 ธันวาคม พ.ศ 2555,ยะลา
MOC-183273,พิพิธภัณฑ์คุกธารโต,ตั้งขึ้นเมื่อ,พ.ศ. ๒๔๗๘,ยะลา
MOC-115717,วัดวังขรณ์,ตั้งขึ้นเมื่อ,พ.ศ. ๒๔๖๖ ,สิงห์บุรี
